nbr,DGP,noise_level,model,sample_size,x_cut_off,y_cut_off,nbr_run,CV_max_m,shap_max_m,min_x_frac,do_ML,do_shap
296,1,0,SVM,100,5,5,46,10000,3162,0.1,TRUE,TRUE
297,1,0,SVM,100,5,5,47,10000,3162,0.1,TRUE,TRUE
298,1,0,SVM,100,5,5,48,10000,3162,0.1,TRUE,TRUE
299,1,0,SVM,100,5,5,49,10000,3162,0.1,TRUE,TRUE
300,1,0,SVM,100,5,5,50,10000,3162,0.1,TRUE,TRUE
301,1,0,SVM,316,5,5,1,10000,3162,0.1,TRUE,TRUE
302,1,0,SVM,316,5,5,2,10000,3162,0.1,TRUE,TRUE
303,1,0,SVM,316,5,5,3,10000,3162,0.1,TRUE,TRUE
304,1,0,SVM,316,5,5,4,10000,3162,0.1,TRUE,TRUE
305,1,0,SVM,316,5,5,5,10000,3162,0.1,TRUE,TRUE
306,1,0,SVM,316,5,5,6,10000,3162,0.1,TRUE,TRUE
307,1,0,SVM,316,5,5,7,10000,3162,0.1,TRUE,TRUE
308,1,0,SVM,316,5,5,8,10000,3162,0.1,TRUE,TRUE
309,1,0,SVM,316,5,5,9,10000,3162,0.1,TRUE,TRUE
310,1,0,SVM,316,5,5,10,10000,3162,0.1,TRUE,TRUE
311,1,0,SVM,316,5,5,11,10000,3162,0.1,TRUE,TRUE
312,1,0,SVM,316,5,5,12,10000,3162,0.1,TRUE,TRUE
313,1,0,SVM,316,5,5,13,10000,3162,0.1,TRUE,TRUE
314,1,0,SVM,316,5,5,14,10000,3162,0.1,TRUE,TRUE
315,1,0,SVM,316,5,5,15,10000,3162,0.1,TRUE,TRUE
316,1,0,SVM,316,5,5,16,10000,3162,0.1,TRUE,TRUE
317,1,0,SVM,316,5,5,17,10000,3162,0.1,TRUE,TRUE
318,1,0,SVM,316,5,5,18,10000,3162,0.1,TRUE,TRUE
319,1,0,SVM,316,5,5,19,10000,3162,0.1,TRUE,TRUE
320,1,0,SVM,316,5,5,20,10000,3162,0.1,TRUE,TRUE
321,1,0,SVM,316,5,5,21,10000,3162,0.1,TRUE,TRUE
322,1,0,SVM,316,5,5,22,10000,3162,0.1,TRUE,TRUE
323,1,0,SVM,316,5,5,23,10000,3162,0.1,TRUE,TRUE
324,1,0,SVM,316,5,5,24,10000,3162,0.1,TRUE,TRUE
325,1,0,SVM,316,5,5,25,10000,3162,0.1,TRUE,TRUE
326,1,0,SVM,316,5,5,26,10000,3162,0.1,TRUE,TRUE
327,1,0,SVM,316,5,5,27,10000,3162,0.1,TRUE,TRUE
328,1,0,SVM,316,5,5,28,10000,3162,0.1,TRUE,TRUE
329,1,0,SVM,316,5,5,29,10000,3162,0.1,TRUE,TRUE
330,1,0,SVM,316,5,5,30,10000,3162,0.1,TRUE,TRUE
331,1,0,SVM,316,5,5,31,10000,3162,0.1,TRUE,TRUE
332,1,0,SVM,316,5,5,32,10000,3162,0.1,TRUE,TRUE
333,1,0,SVM,316,5,5,33,10000,3162,0.1,TRUE,TRUE
334,1,0,SVM,316,5,5,34,10000,3162,0.1,TRUE,TRUE
335,1,0,SVM,316,5,5,35,10000,3162,0.1,TRUE,TRUE
336,1,0,SVM,316,5,5,36,10000,3162,0.1,TRUE,TRUE
337,1,0,SVM,316,5,5,37,10000,3162,0.1,TRUE,TRUE
338,1,0,SVM,316,5,5,38,10000,3162,0.1,TRUE,TRUE
339,1,0,SVM,316,5,5,39,10000,3162,0.1,TRUE,TRUE
340,1,0,SVM,316,5,5,40,10000,3162,0.1,TRUE,TRUE
341,1,0,SVM,316,5,5,41,10000,3162,0.1,TRUE,TRUE
342,1,0,SVM,316,5,5,42,10000,3162,0.1,TRUE,TRUE
343,1,0,SVM,316,5,5,43,10000,3162,0.1,TRUE,TRUE
344,1,0,SVM,316,5,5,44,10000,3162,0.1,TRUE,TRUE
345,1,0,SVM,316,5,5,45,10000,3162,0.1,TRUE,TRUE
346,1,0,SVM,316,5,5,46,10000,3162,0.1,TRUE,TRUE
347,1,0,SVM,316,5,5,47,10000,3162,0.1,TRUE,TRUE
348,1,0,SVM,316,5,5,48,10000,3162,0.1,TRUE,TRUE
349,1,0,SVM,316,5,5,49,10000,3162,0.1,TRUE,TRUE
350,1,0,SVM,316,5,5,50,10000,3162,0.1,TRUE,TRUE
351,1,0,SVM,1000,5,5,1,10000,3162,0.1,TRUE,TRUE
352,1,0,SVM,1000,5,5,2,10000,3162,0.1,TRUE,TRUE
353,1,0,SVM,1000,5,5,3,10000,3162,0.1,TRUE,TRUE
354,1,0,SVM,1000,5,5,4,10000,3162,0.1,TRUE,TRUE
355,1,0,SVM,1000,5,5,5,10000,3162,0.1,TRUE,TRUE
356,1,0,SVM,1000,5,5,6,10000,3162,0.1,TRUE,TRUE
357,1,0,SVM,1000,5,5,7,10000,3162,0.1,TRUE,TRUE
